name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sylhet bangladesh,2022-05-11,28.0,18.4,24.3,32.8,18.4,24.6,23.0,93.0,16.8,100,16.67,rain,0,0.0,30.2,7.6,178.3,1006.3,92.2,11.1,127.5,11.0,7,30.0,2022-05-11T05:10:42,2022-05-11T18:27:25,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-12,29.6,19.1,25.1,36.3,19.1,26.1,23.6,91.6,53.0,100,8.33,rain,0,0.0,33.5,9.7,229.5,1005.3,86.9,7.3,121.5,10.4,6,10.0,2022-05-12T05:10:09,2022-05-12T18:27:56,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-13,27.0,18.4,23.8,30.7,18.4,23.9,23.1,96.3,153.0,100,16.67,rain,0,0.0,33.5,19.8,157.8,1003.2,93.0,7.3,111.8,9.6,6,10.0,2022-05-13T05:09:36,2022-05-13T18:28:27,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-14,29.2,18.4,25.1,36.1,18.4,26.4,23.6,91.7,4.0,100,8.33,rain,0,0.0,51.8,19.4,217.9,1003.2,85.6,7.9,128.5,11.0,5,10.0,2022-05-14T05:09:05,2022-05-14T18:28:57,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-15,29.8,19.4,25.0,37.5,19.4,26.3,23.6,92.0,37.0,100,8.33,rain,0,0.0,37.4,11.2,115.8,1006.0,94.0,13.0,98.0,8.4,5,10.0,2022-05-15T05:08:35,2022-05-15T18:29:28,0.47,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-16,27.2,21.1,25.0,30.9,21.1,25.3,23.5,91.5,31.0,100,12.5,rain,0,0.0,34.9,7.9,11.1,1005.8,95.9,6.6,84.1,7.1,4,10.0,2022-05-16T05:08:05,2022-05-16T18:29:59,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-17,26.2,19.2,23.2,26.2,19.2,23.2,22.3,94.8,67.0,100,16.67,rain,0,0.0,36.0,9.4,16.5,1005.3,90.1,11.4,109.0,9.4,5,30.0,2022-05-17T05:07:38,2022-05-17T18:30:29,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-18,29.7,17.4,24.2,36.0,17.4,25.4,22.6,91.1,0.1,100,4.17,rain,0,0.0,32.4,11.2,51.7,1005.8,86.3,12.1,151.5,12.9,6,60.0,2022-05-18T05:07:11,2022-05-18T18:31:00,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-19,28.9,18.4,23.7,33.1,18.4,24.3,21.7,88.9,14.9,100,8.33,rain,0,0.0,30.2,9.4,359.4,1006.6,83.3,14.2,150.6,13.0,5,60.0,2022-05-19T05:06:45,2022-05-19T18:31:30,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-20,28.6,18.4,23.8,33.1,18.4,24.6,21.8,88.7,23.0,100,8.33,rain,0,0.0,26.6,5.8,61.1,1005.1,71.9,17.4,189.6,16.5,7,30.0,2022-05-20T05:06:21,2022-05-20T18:32:01,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-21,27.4,17.1,23.1,30.1,17.1,23.2,21.0,88.2,5.2,100,8.33,rain,0,0.0,27.0,5.8,37.9,1002.2,79.1,16.6,141.0,12.2,6,60.0,2022-05-21T05:05:58,2022-05-21T18:32:31,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-22,31.9,17.4,24.9,37.2,17.4,26.2,22.3,86.4,20.8,100,8.33,rain,0,0.0,31.0,6.8,65.9,1000.5,76.4,15.4,183.8,16.0,7,30.0,2022-05-22T05:05:35,2022-05-22T18:33:01,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-23,31.2,18.4,26.0,37.2,18.4,27.9,22.8,83.1,2.0,100,12.5,rain,0,0.0,23.0,6.5,79.4,1001.3,57.9,16.9,259.2,22.4,8,10.0,2022-05-23T05:05:15,2022-05-23T18:33:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-24,33.5,18.4,27.3,39.9,18.4,30.0,23.0,78.6,6.0,100,4.17,rain,0,0.0,20.9,5.8,24.0,1003.4,51.8,18.9,287.3,24.7,9,30.0,2022-05-24T05:04:55,2022-05-24T18:34:01,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-25,29.0,17.4,25.6,34.9,17.4,27.2,23.0,86.2,31.0,100,8.33,rain,0,0.0,20.9,5.8,123.1,1005.5,91.6,17.0,127.3,11.0,5,10.0,2022-05-25T05:04:37,2022-05-25T18:34:30,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-26,30.4,22.5,25.8,36.4,22.5,27.2,23.5,87.3,14.2,100,83.33,rain,0,0.0,30.6,6.8,107.1,1004.5,77.1,18.2,156.4,13.4,5,10.0,2022-05-26T05:04:19,2022-05-26T18:35:00,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-27,29.0,17.1,24.8,33.1,17.1,25.9,22.4,86.8,6.6,100,66.67,rain,0,0.0,23.0,5.4,94.3,1003.0,69.3,16.2,155.9,13.5,7,30.0,2022-05-27T05:04:03,2022-05-27T18:35:29,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-28,31.8,17.9,25.7,38.1,17.9,27.7,22.4,82.9,55.0,100,8.33,rain,0,0.0,24.5,5.4,76.9,1002.3,47.1,18.7,249.0,21.6,9,30.0,2022-05-28T05:03:49,2022-05-28T18:35:57,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-29,31.4,19.1,26.3,37.6,19.1,28.3,23.0,82.7,3.0,100,4.17,rain,0,0.0,21.2,7.6,116.8,1002.5,51.1,17.2,237.6,20.4,8,30.0,2022-05-29T05:03:35,2022-05-29T18:36:26,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-30,32.3,19.4,26.8,39.5,19.4,29.4,23.9,84.5,0.1,100,4.17,rain,0,0.0,22.3,5.4,106.1,1002.6,55.8,16.3,210.4,18.1,8,30.0,2022-05-30T05:03:23,2022-05-30T18:36:54,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-05-31,31.5,19.1,26.7,38.4,19.1,29.3,24.0,85.8,2.0,100,4.17,rain,0,0.0,18.4,4.7,3.8,1002.3,82.5,15.2,190.7,16.3,6,30.0,2022-05-31T05:03:12,2022-05-31T18:37:22,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-01,30.0,18.4,26.2,37.3,18.4,28.9,24.2,88.6,54.0,100,12.5,rain,0,0.0,18.4,4.3,73.0,1002.7,95.0,15.9,134.0,11.6,6,30.0,2022-06-01T05:03:02,2022-06-01T18:37:49,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-02,28.9,18.4,25.5,35.0,18.4,27.3,23.9,91.2,7.0,100,8.33,rain,0,0.0,18.7,4.7,43.2,1003.0,96.4,12.6,76.9,6.6,3,30.0,2022-06-02T05:02:53,2022-06-02T18:38:16,0.09,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-03,28.4,18.2,24.7,34.5,18.2,25.3,23.5,93.0,52.0,100,16.67,rain,0,0.0,26.6,6.1,146.0,1003.4,97.0,8.2,52.9,4.5,2,10.0,2022-06-03T05:02:46,2022-06-03T18:38:42,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-04,26.8,17.4,24.2,29.7,17.4,24.3,22.8,92.2,13.2,100,12.5,rain,0,0.0,21.6,5.4,94.5,1004.6,95.2,9.6,54.7,4.7,3,10.0,2022-06-04T05:02:39,2022-06-04T18:39:08,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-05,28.3,19.2,24.4,33.3,19.2,25.2,23.3,93.5,13.8,100,12.5,rain,0,0.0,30.2,4.7,72.1,1004.7,98.3,10.8,89.8,7.8,5,30.0,2022-06-05T05:02:34,2022-06-05T18:39:34,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-06,31.0,18.9,25.7,40.0,18.9,27.6,24.2,91.8,17.0,100,12.5,rain,0,0.0,31.3,6.1,94.7,1003.7,93.1,10.9,123.5,10.8,6,30.0,2022-06-06T05:02:30,2022-06-06T18:39:59,0.23,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-07,30.1,20.2,25.8,38.3,20.2,27.6,24.3,91.2,27.9,100,75.0,rain,0,0.0,24.5,7.6,85.7,1002.8,97.8,9.7,67.0,5.8,2,30.0,2022-06-07T05:02:28,2022-06-07T18:40:23,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-08,30.1,19.7,26.0,37.3,19.7,27.8,24.0,89.0,0.1,100,4.17,rain,0,0.0,31.3,7.2,85.3,1002.4,97.0,8.9,167.6,14.3,8,30.0,2022-06-08T05:02:26,2022-06-08T18:40:47,0.29,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-09,26.7,20.1,25.2,26.7,20.1,25.2,24.2,94.4,30.0,100,16.67,rain,0,0.0,24.1,7.6,60.6,1002.8,98.1,8.5,82.3,7.1,4,30.0,2022-06-09T05:02:26,2022-06-09T18:41:10,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-10,28.1,19.1,25.0,33.7,19.1,26.0,23.7,92.8,7.0,100,8.33,rain,0,0.0,24.1,6.5,123.7,1002.7,97.5,11.8,77.0,6.7,3,10.0,2022-06-10T05:02:26,2022-06-10T18:41:32,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-11,30.3,18.7,26.0,37.6,18.7,28.2,23.6,87.0,13.1,100,75.0,rain,0,0.0,23.0,9.4,233.9,1003.1,84.8,12.4,154.2,13.4,6,30.0,2022-06-11T05:02:28,2022-06-11T18:41:54,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-12,29.2,19.4,25.3,35.4,19.4,26.1,24.0,92.5,30.0,100,12.5,rain,0,0.0,28.1,5.9,93.6,1004.4,93.3,13.4,122.0,10.5,5,30.0,2022-06-12T05:02:31,2022-06-12T18:42:15,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-13,28.0,18.4,24.5,32.7,18.4,24.8,23.5,94.0,36.0,100,12.5,rain,0,0.0,31.7,5.8,74.2,1005.5,97.3,8.5,106.2,9.2,5,30.0,2022-06-13T05:02:35,2022-06-13T18:42:36,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-14,25.7,20.1,23.8,25.7,20.1,23.8,23.0,95.3,51.0,100,12.5,rain,0,0.0,35.3,11.2,70.3,1005.3,96.9,8.6,77.5,6.6,3,10.0,2022-06-14T05:02:40,2022-06-14T18:42:55,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-15,27.4,17.1,24.0,31.3,17.1,24.3,23.1,94.5,79.0,100,16.67,rain,0,0.0,47.5,10.8,156.3,1005.0,98.0,9.9,98.4,8.7,5,10.0,2022-06-15T05:02:47,2022-06-15T18:43:14,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-16,26.1,18.4,24.0,26.1,18.4,24.0,23.3,95.9,73.0,100,20.83,rain,0,0.0,37.1,15.5,161.1,1005.4,99.6,4.8,33.3,2.8,1,10.0,2022-06-16T05:02:54,2022-06-16T18:43:32,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-17,25.5,18.4,23.7,25.5,18.4,23.7,22.9,95.4,62.0,100,12.5,rain,0,0.0,60.5,21.6,188.2,1005.3,100.0,1.7,63.7,5.6,3,10.0,2022-06-17T05:03:02,2022-06-17T18:43:49,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-18,25.2,18.7,23.4,25.2,18.7,23.4,22.9,97.1,25.0,100,12.5,rain,0,0.0,41.0,14.8,177.3,1005.1,97.6,1.4,36.7,3.4,1,10.0,2022-06-18T05:03:11,2022-06-18T18:44:05,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-19,25.9,19.1,24.0,25.9,19.1,24.0,23.3,95.9,3.0,100,4.17,rain,0,0.0,29.5,12.2,157.9,1004.4,95.7,5.2,56.1,4.9,2,10.0,2022-06-19T05:03:22,2022-06-19T18:44:20,0.66,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-20,27.0,18.7,24.3,30.2,18.7,24.5,23.3,94.1,8.0,100,8.33,rain,0,0.0,22.3,11.2,169.7,1002.9,97.1,11.6,55.5,4.9,3,30.0,2022-06-20T05:03:33,2022-06-20T18:44:35,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-21,29.5,18.4,25.4,36.4,18.4,27.1,23.9,91.6,28.0,100,12.5,rain,0,0.0,22.3,8.3,221.1,1002.1,86.5,15.2,124.2,10.6,4,10.0,2022-06-21T05:03:45,2022-06-21T18:44:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-22,29.8,19.1,26.0,37.1,19.1,27.8,24.6,91.8,0.5,100,4.17,rain,0,0.0,19.1,5.4,170.7,1004.5,93.6,16.2,114.6,9.9,5,30.0,2022-06-22T05:03:58,2022-06-22T18:45:01,0.77,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-23,31.2,18.1,26.3,38.3,18.1,28.5,24.0,87.4,1.0,100,4.17,rain,0,0.0,23.4,5.4,128.4,1006.4,95.4,12.8,132.8,11.5,7,30.0,2022-06-23T05:04:12,2022-06-23T18:45:12,0.8,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-24,31.8,19.1,26.2,39.9,19.1,28.8,24.0,87.9,8.0,100,75.0,rain,0,0.0,24.1,4.7,88.8,1004.9,90.8,12.6,168.9,14.6,8,30.0,2022-06-24T05:04:27,2022-06-24T18:45:22,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-25,32.2,19.4,26.7,38.7,19.4,29.5,23.9,85.9,0.1,100,4.17,rain,0,0.0,24.1,4.7,107.4,1004.0,93.4,13.7,185.1,16.0,7,10.0,2022-06-25T05:04:43,2022-06-25T18:45:32,0.87,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-26,31.6,19.1,26.7,38.9,19.1,29.8,23.9,85.0,0.2,100,4.17,rain,0,0.0,22.0,11.2,310.3,1005.6,88.1,15.6,206.5,18.0,8,10.0,2022-06-26T05:04:59,2022-06-26T18:45:40,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-27,32.1,20.1,27.2,40.5,20.1,31.0,24.5,85.5,5.4,100,75.0,rain,0,0.0,26.3,7.6,286.0,1005.7,94.7,12.1,181.1,15.5,6,30.0,2022-06-27T05:05:17,2022-06-27T18:45:47,0.94,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-28,30.5,21.8,26.1,37.7,21.8,28.0,24.7,92.1,10.0,100,12.5,rain,0,0.0,25.6,6.0,59.2,1004.7,97.9,10.4,105.0,9.0,4,10.0,2022-06-28T05:05:35,2022-06-28T18:45:53,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-29,29.3,20.1,25.7,36.1,20.1,27.2,24.3,92.1,0.6,100,4.17,rain,0,0.0,25.9,6.5,144.2,1003.9,98.4,13.1,114.5,9.7,6,10.0,2022-06-29T05:05:54,2022-06-29T18:45:58,0.0,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-06-30,30.0,19.4,25.9,37.3,19.4,27.8,24.3,91.0,0.2,100,4.17,rain,0,0.0,20.5,9.0,138.4,1003.1,93.4,12.8,72.9,6.2,3,10.0,2022-06-30T05:06:13,2022-06-30T18:46:02,0.04,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-07-01,31.5,19.1,26.3,39.4,19.1,29.3,24.4,89.7,1.0,100,4.17,rain,0,0.0,19.4,4.3,68.5,1002.0,85.1,17.4,139.2,12.1,6,30.0,2022-07-01T05:06:33,2022-07-01T18:46:05,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,42515099999,remote,42516099999"
sylhet bangladesh,2022-07-02,33.1,25.2,28.5,42.9,25.2,33.0,25.5,84.6,7.6,100,58.33,rain,0,0.0,18.4,8.9,107.0,1000.1,80.7,16.1,208.9,18.2,7,60.0,2022-07-02T05:06:54,2022-07-02T18:46:07,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999"
sylhet bangladesh,2022-07-03,31.2,24.0,27.7,38.6,24.0,31.8,25.3,87.1,4.2,100,8.33,rain,0,0.0,16.9,10.8,50.2,1001.3,95.6,15.7,147.7,12.6,5,30.0,2022-07-03T05:07:16,2022-07-03T18:46:07,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999"
sylhet bangladesh,2022-07-04,33.2,23.7,29.3,43.6,23.7,36.0,26.1,83.5,0.2,100,4.17,rain,0,0.0,20.2,7.1,14.3,1000.6,85.5,16.2,248.5,21.5,8,60.0,2022-07-04T05:07:38,2022-07-04T18:46:06,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,42515099999,41891099999,remote,42516099999"
sylhet bangladesh,2022-07-05,33.4,19.4,28.6,43.5,19.4,34.9,25.6,84.6,0.2,100,4.17,rain,0,0.0,20.9,10.8,189.6,1000.9,85.9,15.7,211.0,18.4,7,60.0,2022-07-05T05:08:01,2022-07-05T18:46:04,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999"
sylhet bangladesh,2022-07-06,31.2,22.4,27.2,38.4,22.4,30.0,25.0,88.3,7.0,100,4.17,rain,0,0.0,18.4,9.0,24.3,1005.3,80.8,14.6,180.4,15.4,6,30.0,2022-07-06T05:08:24,2022-07-06T18:46:01,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999"
sylhet bangladesh,2022-07-07,33.7,26.0,29.3,45.8,26.0,34.7,25.7,81.6,1.0,100,20.83,rain,0,0.0,23.4,8.9,228.4,1004.8,53.9,17.5,258.9,22.3,8,60.0,2022-07-07T05:08:47,2022-07-07T18:45:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999"
sylhet bangladesh,2022-07-08,32.3,20.4,27.8,41.6,20.4,32.2,25.3,87.0,0.1,100,4.17,rain,0,0.0,19.1,8.5,212.2,1003.7,88.5,15.9,200.9,17.4,7,30.0,2022-07-08T05:09:12,2022-07-08T18:45:51,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,42515099999,41891099999,remote,42516099999"
sylhet bangladesh,2022-07-09,34.4,18.4,29.6,44.6,18.4,36.4,26.0,82.4,11.0,100,4.17,rain,0,0.0,21.2,7.2,227.2,1001.6,62.6,16.1,233.5,20.2,8,60.0,2022-07-09T05:09:36,2022-07-09T18:45:44,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999"
